,course,url
0,Eighteen Course at White Birch Golf Course,missing
0,Backbreaker Mindbreaker Course at Silver Lakes,missing
0,Loomis Trail Course at Semiahmoo Golf & Country Club,http://www.semiahmoo.com
0,Country Club of Mount Dora,missing
0,Flint Golf Club,missing
0,Valleywood Golf Course,missing
0,Mountain Canyon Course at Superior National Golf Course,http://www.superiornational.com
0,Encanto Park Golf Course,missing
0,Harborside Blue Red Course at Longboat Key Club & Resort,missing
0,Glen Lakes Municipal Golf Course,missing
0,Deer Ridge Golf Club,missing
0,Broadview Golf Course,missing
0,Minnesota Valley Country Club,http://www.mvccgolf.com
0,Little Links Course at Wilderness Woods Golf Course,http://www.golfwildernesswoods.com
0,missing,missing
0,Devils Thumb Golf Club,http://www.deltagolf.org
0,Land Harbor Golf Club,missing
0,Oswego Country Club,missing
0,Witch   Witch Course at Deerfield Country Club,missing
0,Mountainview Course at Lakeview Resort,http://www.lakeviewresort.com
0,Canyon Breeze Golf Course,missing
0,Hazen Golf Club,missing
0,Executive Course at Heather Highlands Golf Club,missing
0,The Canyons Course at Bighorn Golf Club,http://www.bighorngolf.com
0,Mill Creek Country Club,http://www.mcgolfresort.com
0,The Olde Course at Polson Country Club,missing
0,Eagle Valley Golf Course,missing
0,San Jacinto College Golf Course,missing
0,Eagles Mere Country Club,missing
0,Poinciana Country Club,missing
0,Cobblestone Creek Country Club,http://www.cobblestonecreekcc.com
0,Nansemond River Golf Club,http://www.nansemondrivergolfclub.com
0,Conquistador Course at Hilton Tucson El Conquistador Golf & Tennis Resort,http://hiltonelconquistador.com
0,Hobbits Glenn Golf Club,missing
0,18-Hole Regulation Course at Santa Teresa Golf Club,missing
0,Pinetop Lakes Golf & Country Club,missing
0,Lakeshore Country Club,missing
0,White Blue Course at Hamilton Elks Country Club,missing
0,Tioga Golf & Country Club,missing
0,Woodstock Club,missing
0,Aberdeen Golf & Country Club National,missing
0,Red Course at Highland Park Golf Course,missing
0,Cameron Course at Buffalo Hill Golf Club,missing
0,Shade Mountain Golf Club,missing
0,White Blue Course at Nevele Grand Resort and Country Club,http://www.nevele.com
0,Red White Course at Town & Country RV Resort & Golf Club,missing
0,Championship International Course at International World Tour Golf Links,http://www.worldtourmb.com
0,Roseburg Country Club,missing
0,Studio City Golf Course,missing
0,Westmoreland Golf Club,missing
0,Lakes Woods Course at Mystic Creek Golf Club,missing
0,Prineville Golf & Country Club,missing
0,Fleming Course at Harding Park Golf Course,http://www.Harding-Park.com
0,Nevel Meade Golf Club,missing
0,Leavenworth Country Club,missing
0,Buffalo Valley Country Club,missing
0,Peridia Golf & Country Club,missing
0,Links At Novadell,missing
0,Pinehaven Country Club,missing
0,Latta Lea Golf Club,missing
0,Earlville Country Club,missing
0,Ellsworth Country Club,missing
0,White Blue Course at Eldorado Golf Course,missing
0,Brown Blue Course at Del-Aire Country Club,missing
0,Adirondack Golf & Country Club,http://www.adirondackgolfclub.com
0,Whip-Poor-Will Golf Course,http://www.playgolfne.com
0,Eighteen Hole Course at Arrowhead Golf Course,missing
0,Springview Country Club,missing
0,Blue White Course at Northmoor Country Club,http://www.northmoor.org
0,Red Blue Course at Lindenwood Golf Club,http://www.lindenwoodgolf.com
0,Greystone Golf Course,missing
0,Michigan Meadows Golf Course,missing
0,TPC at Piper Glen,missing
0,Hide-A-Way Golf Course,http://www.hide-a-waygolf.com
0,Anchor Golf Land,missing
0,River Mont Golf Course,missing
0,Mountain Course at Lake Placid Club Resort,http://www.lpresort.com
0,Nine Hole Par 3 Course at Smithtown Landing Golf Club,missing
0,Beulah Municipal Golf Course,missing
0,Sierra Sage Golf Course,missing
0,North Course at Los Serranos Golf & Country Club,missing
0,Country Club of Florida,missing
0,Hills Course at Walden Lake Golf & Country Club,http://www.waldenlakegolf.com
0,Kempsville Greens Municipal Golf Course,missing
0,The Cedar River Course at Shanty Creek,http://www.shantycreek.com
0,Pine Hills Golf Club,http://www.pinehillsgc.com
0,Rattlesnake Ridge Golf Club,http://www.rrgolfclub.com
0,Meadows Country Club,missing
0,Wilshire Golf Club,missing
0,Kilkarney Hills Golf Course,http://www.kilkarneyhills.com
0,Merit Club,missing
0,Hope Country Club,missing
0,Chosen Valley Country Club,missing
0,Trenton Country Club,missing
0,Front Back Course at Hankered Hills Golf Course,missing
0,Champions Club,missing
0,Regulation Course at Lake Chabot Municipal Golf Course,missing
0,Lidgerwood Golf Club,missing
0,Sands RV Resort,missing
0,Morningstar Golf Club,http://www.morningstargc.com
0,Grows Vineyard Greens Closed For Renovation,missing
0,Shoal River Country Club,missing
0,South West Course at Meriwether National Golf Club,missing
0,Pine Bay Golf Course,missing
0,Par 3 Course at Crosswinds Golf Club,http://www.crosswindsgolfclub.com
0,Newnan Country Club,missing
0,Richmond Country Club,missing
0,Maynard Country Club,missing
0,Seven Hills Country Club,missing
0,Rolling Rock Club,missing
0,Bridges at Casino Magic,http://www.casinomagic-baystlouis.com
0,Discovery Bay Country Club,missing
0,Lakeview Course at Lakeview Resort,http://www.lakeviewresort.com
0,Jersey Meadow Golf Complex,missing
0,Eighteen Course at Byron Hills Golf Course,missing
0,Mohican Hills Golf Club,missing
0,St. James Country Club,missing
0,Prairies of Cahokia Golf Course,missing
0,Brownwood Country Club,missing
0,Cole Acres Golf Course,missing
0,Warren Golf Course at Notre Dame,http://www.und.com
0,Tamaron Country Club,http://www.tamaroncc.com
0,Cherokee Ridge Country Club,http://www.cherokeeridge.com
0,Bobby Jones Golf Course,missing
0,Valley Mountain Course at Pinery Country Club,missing
0,Piankatank River Golf Club,http://www.virginiagolf.com/piankatank.html
0,Ottumwa Country Club,missing
0,Somersett Country Club,http://www.somersett.com
0,Wildfire Golf Club,missing
0,TPC of Virginia Beach,missing
0,Pleasantville Golf & Country Club,missing
0,Northcliffe Golf & Country Club,missing
0,West Helena Municipal Golf Course,missing
0,Kaluhyat Course at Turning Stone Casino Resort,http://www.turning-stone.com
0,Three Hole Junior Course at Blue River Golf Academy,missing
0,Blue Mountain View Golf Course,missing
0,Blue Green Course at Sunken Meadow State Park Golf Course,missing
0,18-Hole Championship Course at Summit Golf Course,missing
0,Heron Course at Spring Lake Golf Resort,http://www.springlakegolf.com
0,Pezhekee National Golf Course,http://www.petersresort.com/golf.html
0,Millburn Municipal Golf Course,missing
0,Beech Hollow Golf Course,missing
0,Front Middle Course at Rolling Green Golf Club,missing
0,Cardinal Golf Course,missing
0,Davy Crockett Golf Course,missing
0,Tee-Bird South Course at Tee-Bird Country Club,missing
0,Jade Greens Golf Club,missing
0,Chiricahua Course at Desert Mountain,http://www.desertmountain.com
0,Regent Park Golf Club,http://www.regentparkgolfclub.com
0,Skagit Golf & Country Club,missing
0,North Course at Gull Lake Views Stonehedge & North Course,http://www.gulllakeview.com
0,Carmela Vineyards Golf Course,missing
0,Regulation Course at Manor Country Club,http://www.manorcc.com
0,Front Course at Crystal Lake Golf Course,missing
0,Shamokin Tuckahoe Course at Stoney Creek at Wintergreen Resort,http://www.wintergreenresort.com
0,Yankee Run Golf Course,http://www.yankeerun.com
0,West Course at Myrtle Beach National Golf Club,missing
0,Red Blue Course at Tiburon Golf Club,missing
0,Valley Hills Golf Club,missing
0,Allentown Municipal Golf Course,missing
0,Fairfield Country Club,http://www.fairfieldcountryclub.com
0,Miry Run Country Club,missing
0,Elephant Rocks at Williams,missing
0,Meadow Greens Golf Course,missing
0,Placid Lakes Country Club,missing
0,Martin County Country Club,missing
0,Creek 1   Creek 2 Course at Mill Creek Golf Club & Inn,http://www.millcreek-golf.com
0,Marion Elks Country Club,missing
0,Golf Club at Thornapple Pointe,http://www.thornapplepointe.com
0,El Diablo Course at Rancho Viejo Resort & Country Club,missing
0,18-Hole Course at Fairfield Golf Club,http://www.fairfieldgc.com
0,Park Hills Golf & Supper Club,missing
0,Irish Waters Golf Club,missing
0,Spider Lake Golf Resort,missing
0,Westchester Hills Golf Club,missing
0,Northwest Golf Par 3,missing
0,Tortuga Course at Haven Public Golf Club,missing
0,Willow Creek Golf Center,missing
0,Tuscarora Country Club,missing
0,White Blue Course at Aeropines Golf Course,missing
0,Revolution Park Golf Course,http://www.revolutionparkgolf.com
0,Ricci Meadows Golf Course,missing
0,White Blue Course at Pebble Creek Golf Club,http://www.pebblecreekgolf.com
0,Montgomery Village Golf Club,missing
0,Casta del Sol Golf Course,missing
0,Eldorado Valley Course at Boulder Creek Golf Club,http://www.bouldercreekgc.com
0,Arlington Course at Army Navy Country Club - Arlington,missing
0,Big Fish Golf Club,http://www.bigfishgolf.com
0,Dwight D. Eisenhower Course at Industry Hills Pacific Palms Resort,missing
0,North East Course at Sahalee Country Club,missing
0,Pine Barrens Course at World Woods Golf Club,http://www.worldwoods.com
0,North Olmstead Golf Club,missing
0,Ardsley Country Club,http://www.ardsleycc.org
0,West Shore Golf & Country Club,missing
0,Eighteen Hole Course at Riverside Municipal Golf Club,missing
0,Virginia National Golf Club,http://www.virginianational.com
0,White Sands Golf Course,missing
0,Highland Valley Course at Beekman Country Club,http://www.beekmangolf.com
0,Executive Nine Course at High Cedars Golf Club,http://www.highcedars.com
0,Lakeview Bayview Course at A. C. Read Golf Course,missing
0,Roses Run Country Club,missing
0,Championship Course at Elmwood Golf Club,http://www.dakotagolf.com
0,Shadowood Golf Course,http://www.shadowoodgolf.com
0,Pine Meadow Public Golf Course,missing
0,Flag Springs Golf Course,missing
0,East West Course at Rose Hill Golf Club,missing
0,Hendricks Field Golf Course,missing
0,North Course at Ft. Lauderdale Country Club,missing
0,Par Three- Bistro,missing
0,Avery Ranch Golf Club,http://www.averyranchgolf.com
0,Edmundson Golf Course,missing
0,Executive Course at Brandywine Country Club,missing
0,Thoroughbred Golf Club at Double JJ Resort,http://www.doublejj.com
0,Cascade Short Course & Driving Range,missing
0,Deer Island Golf & Lake Club,http://www.deerislandgolf.com
0,Gunters Landing Golf Club,http://www.gunterslanding.com
0,Blue Gold Course at Riverview Highlands Golf Course,missing
0,Chambers County Golf Course,missing
0,West Ridge Golf Course,missing
0,Wachesaw Plantation Club,missing
0,Warner Springs Ranch,http://www.warnersprings.com
0,Lakes Course at Boca Woods Country Club,missing
0,Wellesley Country Club,missing
0,Capitol City Golf Club,http://www.golfcapitolcity.com
0,Eagle Ridge Golf Club,missing
0,The Links Course at Robert Trent Jones Golf Trail - Grand National,http://www.rtjgolf.com
0,South North Course at Fernandina Beach Municipal Golf Course,missing
0,Third First Course at Lake Venice Golf Club,missing
0,Challenger Course at Bear Creek Golf World,missing
0,Springs Course at House On The Rock Resort,http://www.thehouseontherock.com
0,Laurel Azalea Course at Houndslake Country Club,missing
0,Upland Golf Club,http://www.uplandgolfclub.com
0,Forest Park Golf Course,missing
0,North Course at Foxtail Golf Club,http://www.playfoxtail.com
0,Tara Hills Golf Course,missing
0,White Blue Course at Mountain View Golf Course,missing
0,Sugar Isle Golf Country,missing
0,Hills Course at Prestonwood Country Club,missing
0,Aronimink Golf Club,missing
0,Creek Oaks Course at Temecula Creek Inn,http://www.jcgolf.com
0,Spring Valley Golf Course,missing
0,Aquia Harbour Golf & Country Club,missing
0,Holiday Hills Golf Course,missing
0,Salina Country Club,missing
0,Mulligans Golf,missing
0,Kirksville Country Club,missing
0,Kingsway Country Club,missing
0,New Haven Country Club,missing
0,Eagle Chase Golf Club,missing
0,Mahnomen Country Club,missing
0,River Birch Golf Club,missing
0,Holland Meadows Golf Course,missing
0,Firecreek Golf Club,missing
0,Harrington Golf & Country Club,missing
0,Kyber Run Golf Course,missing
0,Meadows Course at Greenbrier,http://www.greenbrier.com
0,San Antonio Country Club,missing
0,Old Capital Golf Club,http://www.oldcapitalgolf.com
0,Cassville Golf Club,missing
0,La Quinta Country Club,missing
0,Heron to Ibis Course at Carolina National Golf Club,missing
0,Richter Park Golf Course,http://www.richterpark.com
0,Big Creek Golf & Country Club,http://www.bigcreekgolf.com
0,New Meadows Golf Club,missing
0,Pat Cleburne Municipal Golf Course,missing
0,Pocalla Springs Country Club,missing
0,Fourche Valley Golf Club,http://www.fourchevalley.org
0,Echo Creek Country Club,missing
0,Cleghorn Plantation Golf & Country Club,missing
0,Smoky Hill Country Club,missing
0,Maplewood Country Club,missing
0,Links O Tryon,missing
0,Bethany Bay Golf Club,missing
0,Mosswood Meadows Golf Course,missing
0,Woodbury Country Club,missing
0,Little Traverse Bay Golf Club,http://www.ltbaygolf.com
0,Yorba Linda Country Club,http://www.yorbalindaclub.com
0,Shawangunk Country Club,missing
0,Pinetree Country Club,missing
0,Cottonwood Silo Course at West Woods Golf Club,missing
0,Take Fore Golf & Fitness,missing
0,Sunset Course at Lancaster Country Club,missing
0,Oaks Hills Golf Course,missing
0,Bridge Prairie Course at North Branch Golf Course,http://www.northbranchgolf.com
0,Haleyville Country Club,missing
0,Pigeon Run River Woods Course at Sheboygan Town & Country Golf Club,http://www.townandcountrygolf.com
0,Bay Pointe Golf Club,missing
0,Maplecrest Golf Club,missing
0,River Course at Fiddlers Elbow Country Club,http://www.fiddlerselbowcc.com
0,Fairview Municipal Golf Course,missing
0,Hollyfields Golf Club,missing
0,Sikeston Country Club,missing
0,Huron Breeze Golf & Country Club,http://www.huronbreeze.com
0,Piqua Country Club,missing
0,Miracle Hill Golf & Tennis Center,http://www.miraclehillgolf.com
0,Hidden Creek Golf Club,http://www.hiddencreekclub.com
0,Elkhart Golf Club,missing
0,Equestrian Course at Polo Club,missing
0,Majestic Ridge Golf Club,missing
0,Oaks Golf Course,missing
0,Club at Porto Cima Course at Lodge of Four Seasons,missing
0,Executive White Course at Salt Creek Golf Club,missing
0,Cream Ridge Golf Club,http://www.creamridgegolfclub.com
0,Luana Hills Country Club,http://www.luanahills.com
0,Cherokee Trails Golf Course,missing
0,Big Run Golf Club,missing
0,Orono Golf Course,missing
0,Woods   Prairie Course at Pleasant View Golf Club,http://www.golfpleasantview.com
0,Jacksonville Beach Golf Course,missing
0,St. Ives Course at St. Ives Resort,http://www.stivesgolf.com
0,Lexington Golf & Country Club,missing
0,Quarry Course at Black Diamond Ranch Golf & Country Club,http://www.blackdiamondranch.com
0,R.O. Speck Golf Course,missing
0,Signal Point Club,missing
0,Morningstar Golfers Club,missing
0,South North Course at Farmington Country Club,http://www.farmingtoncc.com
0,Woods Blue Grass Course at Old Westbury Golf & Country Club,missing
0,Hawks Nest State Park Golf Course,missing
0,Pheasant Country Golf Course,missing
0,Beaver Bear Course at Breckenridge Golf Club,missing
0,Diplomat Resort Country Club,missing
0,Woodmoor Country Club,missing
0,Yakima Elks Golf & Country Club,missing
0,Fitzgerald Country Club,missing
0,Lakes Cypress Course at Peninsula Golf & Racquet Club,http://www.thepeninsula.com
0,Thomas Memorial Golf & Country Club,missing
0,South Course at Westfield Country Club,missing
0,North Course at Charleston Springs Golf Course,http://www.monmouthcountyparks.com
0,Duncan Hills Golf Course,missing
0,Airport National Public Golf Complex,http://www.airportnationalpublicgolf.com
0,Rubyview Golf Course,missing
0,Inn Golf Course,missing
0,Grande Dunes,http://www.grandedunes.com
0,Birch Point Golf Club,missing
0,Old Hickory Country Club,missing
0,Eunice Country Club,missing
0,AuSable Club,missing
0,Kaneohe Klipper Golf Course,missing
0,Chapel Ridge Golf Club,missing
0,Palo Duro Creek Golfing Club,missing
0,Hollydale Golf Club,missing
0,Mesquite Course at Borrego Springs Resort & Country Club,http://www.borregospringsresort.com
0,West East Course at Maple Leaf Golf Course,http://www.golfmapleleaf.com
0,Battleground at Deer Park,missing
0,Tam OShanter Golf Course,missing
0,Tatnuck Country Club,missing
0,Crooked Creek Country Club,missing
0,Quiet Times Golf Course,missing
0,Red White Course at Woods Golf Course,missing
0,Missing Links Golf Course,missing
0,Elm Lake Golf Course,missing
0,West Course at Mohawk Golf Club,missing
0,Par T Golf Course,missing
0,Alsatian Golf Club,missing
0,Sugar Bay Golf Course,missing
0,Terrace Hill Golf Course,missing
0,East Course at Maple Lane Golf Club,missing
0,Spring Valley Country Club,missing
0,Crossings Golf Club,http://www.crossingsgolf.com
0,Groesbeck Golf Course,missing
0,East Center Course at Ridgewood Country Club,missing
0,Lakeside Golf & Country Club,missing
0,"Rich Harvest Links Course at Plantation at Rich Harvest Farms,The",missing
0,Crestwood Country Club,missing
0,Lakes of the North - Deer Run Golf Course,missing
0,Circle C Ranch Golf Club,missing
0,Islands End Golf & Country Club,http://www.islandsendgolf.com
0,Eighteen Course at Giant Oak Golf Club,missing
0,French Camp Golf Course,http://www.frenchcamp.com
0,New Horizons Golf Course,missing
0,Scotts Bluff Country Club,missing
0,Flatbush Golf Course,missing
0,Little Course at Aspen Grove,missing
0,Junction City Country Club,missing
0,Pineknoll Country Club,missing
0,Raintree Golf Resort,http://www.raintreegolf.com
0,Raccoon Hill Golf Club,missing
0,North Kent Golf Course,missing
0,Back Nine Course at Country View Golf Course,missing
0,Twin Hickory Golf Club,missing
0,Highlands Course at Atlanta Athletic Club,missing
0,Pines Marsh Course at Country Club of Jackson,missing
0,Edina Country Club,missing
0,Windridge Country Club,missing
0,Kings Creek Country Club,missing
0,Avalon Golf Club,missing
0,West 18 Course at Laurel Greens Public Golfers Club,missing
0,Cherry Lane Golf Club,missing
0,Cape May National Golf Club,http://www.cmngc.com
0,Chula Vista Golf Course,missing
0,Club at Grandezza,missing
0,Beacon Rock Public Golf,missing
0,Creek Side Golf & Country Club,missing
0,Valley City Town & Country Club,missing
0,Newport Beach Golf Course,missing
0,Glacier Club,missing
0,Lone Pines Golf Course,missing
0,Eastland Fairways,missing
0,Potters Park Golf Course,missing
0,Cacapon Resort State Park,missing
0,Grants Pass Golf Club,missing
0,First Nine Third Nine Course at Cloverleaf Golf Club,missing
0,Plantation Resort Golf Club,http://www.plantationgolf.net
0,Whitefish Lake Golf Club,missing
0,Cascades Golf Club,missing
0,Colfax Country Club,missing
0,Lakes Course at Indian Creek Golf Course,http://www.indiancreekgolfclub.com
0,Cedar View Golf Course,missing
0,Robert Trent Jones Course at Palmetto Dunes Golf Course,http://www.palmettodunes.com
0,Tradition Golf Club At Royal New Kent,http://www.traditionalclubs.com
0,Valley Green Golf & Country Club,missing
0,Manchester Country Club,missing
0,Lakeside Course at Golf Club of Georgia,http://www.golfclubofgeorgia.com
0,Oak Hills Park Golf Course,http://www.oakhillsgc.com
0,Grand Oak Golf Club,missing
0,Twin Brook Golf Club,missing
0,Northlinks Southlinks Course at Overland Park Golf Club,missing
0,Adobe Creek Golf Course,http://www.adobecreek.com
0,Lakes Meadows Course at Centennial Golf Club,http://www.centennialgolf.com
0,Lakes Oaks Course at Hacienda Hills Golf & Country Club,missing
0,North Course at Fountain Country Club,missing
0,Ridge Club,missing
0,Faldo Golf Institute by Marriot,http://www.gofaldo.com
0,Blue Red Course at Pebble Creek Golf Club,http://www.pebblecreekgolf.com
0,Glenview National 9,missing
0,Spanish Trail Golf Club,missing
0,East Course at Pearl Golf Links,http://www.thepearlgolf.com
0,Garden City Golf Club,missing
0,Brookings Country Club,http://www.brookingscc.com
0,American Falls Golf Course,missing
0,West Course at Green Meadows Golf Club,missing
0,Rancho Casa Blanca Country Club,missing
0,Speed Employees Country Club,missing
0,Winding Brook Country Club,missing
0,West Nine Hole Course at Hidden Valley Country Club,missing
0,Dutch Elm Golf Club,missing
0,Jack OLantern Golf Resort,http://www.jackolanternresort.com
0,West Course at Belleair Country Club,http://www.belleaircc.com
0,Heritage Ranch Golf & Country Club,http://www.heritageranchgolf.com
0,Tuckaway Farms,missing
0,Lakes Oaks Course at Blacklake Golf Course,http://www.blacklake.com
0,Wyantenuck Country Club,missing
0,Marcus Pointe Golf Club,missing
0,Enosburg Falls Country Club,missing
0,East Course at Boca Lago Golf Course,missing
0,University of Montana Golf Course,missing
0,Spring Valley Lake Country Club,http://www.spring-valley-lake.com
0,Indian Ridge Golf Club,missing
0,Highland Park Golf Course,missing
0,Kenduskeag Valley Golf Club,missing
0,Twin Run Golf Course,missing
0,Watonga Golf Club,missing
0,Triggs Memorial Golf Course,missing
0,Newport Country Club,missing
0,Kings Country Club,missing
0,Shell Point Golf Club,http://www.shellpoint.org/golf
0,Palms Course at Palm-Aire Country Club,http://www.palmairegolf.com
0,The Moor Course at Boyne Highlands Resort & Country Club,http://www.boynehighlands.com/summer/golf.html
0,Valley Course at Oxmoor Valley Golf Course,http://www.rtjgolf.com
0,Sinton Municipal Golf Course,missing
0,Blue Red Course at Buck Hill Falls Golf Club,http://www.buckhillgolfclub.com
0,Hermann Park Golf Course,missing
0,Brookfield Country Club,missing
0,Canasawacta Country Club,missing
0,Blue Red Course at Northmoor Country Club,http://www.northmoor.org
0,Winding Hills Golf Club,missing
0,Willows Pines Course at Carolina Springs Family Golf Center,missing
0,Lakewood Golf,missing
0,Calvert Crossing Golf Club,http://www.audubontrail.com/courses/index.asp?id=8
0,Lake Monticello Golf Course,missing
0,Brasstown Valley Resort,missing
0,Park Hills Country Club,missing
0,North East Course at Pine Oaks Golf Course,missing
0,Van Schaick Island Country Club,missing
0,New Eighteen Course at Genesee Valley Golf Club,missing
0,Lee Park Golf Course,missing
0,Bellport Country Club,missing
0,Pasadena Municipal Golf Course,missing
0,Big Sugar Golf Club,http://www.bigsugargolfclub.com
0,Long Hollow Golf Course,missing
0,Maderas Golf Club,http://www.maderasgolf.com
0,Holiday Hills Country Club,missing
0,Woodlake Country Club,missing
0,Willowisp Country Club,missing
0,Rivercut Golf Course,missing
0,Utica Golf Club,missing
0,Colina Park Golf Course,missing
0,Elmbrook Golf Course,http://www.elmbrookgolf.com
0,Bungay Brook Golf Club,http://www.bungaybrook.com
0,Bixby Village Golf Course,missing
0,Mountain High Golf Course,missing
0,Stillwater Golf Course,missing
0,Oakwood Club,missing
0,Willow Lakes Golf Course,missing
0,Waterfront Country Club,missing
0,MeadowWood Golf Course,http://www.meadowwoodgolf.com
0,The Eighteen Hole Course at Baker National Golf Course,http://www.bakernational.com
0,Conroe Country Club,missing
0,Castle Rock Golf & Recreation,missing
0,Palms Course at Pompano Beach Golf Course,missing
0,Edgewood Park Golf Club,missing
0,Crystal Tree Golf & Country Club,missing
0,Silver Spring Golf Course,missing
0,National Course at Fox Hills Resort,http://www.foxhillsresort.com
0,Eighteen Hole Executive Course at Outdoor Resort & Country Club,missing
0,Westin Salishan Golf Links,http://www.salishan.com
0,StoneWater Golf Club,http://www.stonewatergolf.com
0,Downing Municipal Golf Course,missing
0,Arcade Creek Course at Haggin Oaks Golf Course,missing
0,Championship Course at Viewpoint Golf Resort,missing
0,Pineway Golf Club,missing
0,Pomme de Terre Golf Club,missing
0,White Course at Willow Creek Golf Course,http://www.willowgolf.com
0,South Course at Daytona Beach Golf & Country Club,missing
0,Legends Course at Chateau Elan Golf Club & Resort,http://www.chateauelan.com
0,Bloody Point Golf Course,missing
0,Mississippi National Golf Club,http://www.mississippinational.com
0,Havana Hills Par 3 Golf,missing
0,Palmetto Golf Course,missing
0,Forty Niner Country Club,missing
0,Through the Green,missing
0,White Red Course at Timber Point Country Club,missing
0,Gold Course at Wigwam Resort,http://www.wigwamresort.com
0,River Terrace Golf Course,missing
0,Raymond Memorial Golf Course,http://www.nn.net/golf/Raymond.htm
0,Luck Golf Course,missing
0,Deer Path Golf Course,missing
0,Nine Hole Course at Sportsmans Country Club,http://www.sportsmansgolf.com/
